Make,Model,Year,Mileage,ImportHistory,FuelEconomy
mitsubishi,triton,2022,20km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,20km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,15km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,10km,N/A,"2400cc, Diesel, Automatic"
mitsubishi,triton,2022,"2,200km",N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,"1,900km",N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,15km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,pajero,2022,"8,700km",N/A,"2442cc, Diesel, Automatic"
mitsubishi,pajero,2022,"4,500km",New Zealand New,"2442cc, Diesel, Automatic"
mitsubishi,pajero,2022,10km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,pajero,2022,15km,New Zealand New,"2442cc, Diesel, Automatic"
mitsubishi,outlander,2022,10km,N/A,"2360cc, Hybrid, Automatic"
mitsubishi,outlander,2022,10km,N/A,"2360cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2022,N/A,New Zealand New,N/A
mitsubishi,outlander,2022,15km,N/A,"2360cc, Plug-In Hybrid, Automatic"
mitsubishi,outlander,2022,733km,New Zealand New,"2360cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2022,N/A,New Zealand New,N/A
mitsubishi,outlander,2022,N/A,N/A,N/A
mitsubishi,outlander,2022,N/A,N/A,N/A
mitsubishi,outlander,2022,N/A,N/A,N/A
mitsubishi,outlander,2022,N/A,N/A,N/A
mitsubishi,outlander,2022,N/A,New Zealand New,N/A
mitsubishi,outlander,2022,N/A,N/A,N/A
mitsubishi,outlander,2022,20km,N/A,"2488cc, Petrol, Automatic"
mitsubishi,outlander,2022,N/A,N/A,N/A
mitsubishi,outlander,2022,20km,N/A,"2360cc, Petrol, Automatic"
mitsubishi,outlander,2022,20km,N/A,"2360cc, Petrol, Automatic"
mitsubishi,outlander,2022,20km,N/A,"2360cc, Petrol, Automatic"
mitsubishi,outlander,2022,20km,N/A,"2360cc, Petrol, Automatic"
